id,make,model,year,VIN,color,price
726,BMW,530,2001,2C4RDGCG4DR811261,Yellow,9022.12
727,Chevrolet,Express 1500,2000,SCFKDCEP2EG477341,Crimson,2335.9
728,GMC,Yukon,2013,1G6DL1E35C0344500,Fuscia,1267.16
729,Chevrolet,Tahoe,1996,JTDBT4K30CL637214,Crimson,8842.17
730,Buick,Skyhawk,1985,1G6KS54Y54U998308,Mauv,8620.45
731,Buick,Coachbuilder,1992,WA1LMAFE4CD261035,Aquamarine,9350.21
732,Mercedes-Benz,500E,1992,5FRYD4H48GB882650,Fuscia,1847.86
733,Ford,Thunderbird,1984,WAUPL58E74A813531,Orange,5732.9
734,Mercury,Capri,1991,WAUUL78E46A536547,Khaki,2417.37
735,Chevrolet,Volt,2011,5N1AA0NCXBN455170,Purple,5570.26
736,Toyota,Avalon,2001,1N6BF0KM7FN862342,Purple,3038.34
737,Hyundai,Genesis Coupe,2011,1GYS4KEFXDR694553,Green,8502.47
738,Chevrolet,S10 Blazer,1994,1GD022CG4CZ439499,Indigo,5336.09
739,Volkswagen,rio,1995,WAUMFBFLXDN368656,Orange,1483.91
740,MINI,Clubman,2011,WAUFL54D51N603801,Fuscia,5062.33
741,Mitsubishi,Mighty Max,1986,WAUNF98PX6A548954,Turquoise,9227.21
742,Mercury,Cougar,1993,WBANU5C53AC930633,Yellow,9720.24
743,Toyota,Camry,1996,1G4PT5SV9F4582799,Teal,6638.76
744,Jeep,Grand Cherokee,1993,1N6AA0CHXDN337106,Indigo,2148.92
745,Volkswagen,GTI,1989,JN1CV6FE8EM387064,Orange,1870.0
746,Lexus,SC,1997,1G6AA5RX8E0028704,Blue,7426.75
747,Chevrolet,Corvette,1954,JHMGE8G25AC764706,Mauv,2999.09
748,Mitsubishi,3000GT,1996,JN8AF5MV1FT469048,Maroon,9020.16
749,Chevrolet,Caprice,1983,JTHFE2C20D2494180,Turquoise,7489.08
750,Ford,Crown Victoria,1996,WAUEFBFL7BN007600,Red,6318.68
751,Chrysler,LeBaron,1993,WDDGF4HB2EG729471,Violet,8290.65
752,Cadillac,Escalade,2010,WBAEW53432P557055,Purple,5440.27
753,Mercedes-Benz,SLR McLaren,2005,WBALM7C56AE073506,Goldenrod,4932.94
754,Chevrolet,TrailBlazer,2004,2C3CDXJG5DH234260,Purple,8206.95
755,Nissan,Maxima,1995,WBA3R5C52FK583835,Orange,6777.53
756,Toyota,Prius c,2012,1G4GA5ER7CF699656,Pink,7155.49
757,Mercury,Sable,1993,ZFF60FCA1A0911698,Mauv,7011.28
758,Toyota,Celica,2003,3D73M4CL2BG724226,Yellow,3314.58
759,Toyota,Sienna,1999,1G6DL8EV9A0060357,Turquoise,6350.32
760,Cadillac,Escalade EXT,2003,19XFA1E53BE847168,Crimson,9801.59
761,Chevrolet,Express 1500,2000,WAUEH94F76N796675,Green,1788.02
762,Toyota,Sienna,2002,4USBU33558L912651,Khaki,4706.37
763,Ford,Fiesta,2011,YV1902MM2F1934285,Green,2452.36
764,Honda,Civic Si,2006,4USFE43527L612097,Blue,4258.65
765,Toyota,Tercel,1993,WAUEH94F97N823344,Indigo,1648.1
766,Ford,LTD Crown Victoria,1986,5UXZV4C58DL672494,Violet,8578.14
767,Mercedes-Benz,SLK-Class,2008,WBAVT13506K313201,Goldenrod,5145.54
768,Lincoln,Continental Mark VII,1992,WA1VKAFPXAA992986,Maroon,4830.85
769,Toyota,Prius Plug-in,2012,WAUVF78K79A295301,Crimson,7918.32
770,Jaguar,XJ,2009,1GYFC56259R941826,Orange,1851.42
771,Ford,Crown Victoria,1992,JTDKN3DP2C3789564,Indigo,5488.94
772,Ford,LTD Crown Victoria,1993,1C4NJCBA8FD241705,Yellow,6732.22
773,Hyundai,Elantra,2003,5NPEB4AC3BH428618,Purple,8117.03
774,Jaguar,X-Type,2004,JH4CL96845C726986,Orange,4018.24
775,Audi,A4,2006,2HNYD18223H469443,Aquamarine,3878.88
776,Nissan,300ZX,1994,WBAUC9C51DV694109,Blue,1824.47
777,Jaguar,X-Type,2005,1GD02ZCGXBZ385018,Puce,3638.22
778,BMW,530,2003,WAUDF48H29K490246,Teal,9902.07
779,Honda,Civic,1985,WAUNF78P27A510348,Maroon,3366.18
780,Lincoln,MKS,2012,WAUMK98K09A995339,Orange,3338.47
781,Honda,Insight,2011,4T1BK3DB8AU591538,Fuscia,3180.37
782,Pontiac,Trans Sport,1997,WBA3B1C55EP938205,Blue,3227.16
783,Mercury,Milan,2007,1FMJK1JT1FE973860,Orange,6935.22
784,Lexus,LX,1998,3D73M3CL8BG024642,Purple,2850.61
785,Land Rover,LR3,2009,2T1KU4EE4CC152253,Green,7287.77
786,Nissan,300ZX,1992,WBADT33482G068384,Puce,8569.16
787,Oldsmobile,88,1998,2C3CDZBGXFH670700,Indigo,2389.88
788,Ferrari,599 GTB Fiorano,2010,WAUEL94F15N686220,Crimson,2124.01
789,Jeep,Commander,2008,SAJWA6BC6F8806020,Purple,8190.68
790,Dodge,Ram 2500,1995,1G6DM5E35C0927475,Pink,2787.64
791,Audi,TT,2001,5UXFA13575L419469,Crimson,9463.26
792,Acura,Integra,1993,1N6AA0CC8DN772436,Indigo,7226.53
793,Chrysler,Cirrus,2000,JTHBP5C21D5635461,Aquamarine,6584.23
794,Hyundai,Veloster,2013,1GYS3HKJ2FR084664,Turquoise,2573.5
795,Mercedes-Benz,S-Class,2010,SCFFDCBD4BG499560,Teal,9707.69
796,Pontiac,Grand Am,1991,1GYS4PKJ9FR524371,Crimson,9570.17
797,Mercedes-Benz,S-Class,1997,WBAUP73579V816777,Orange,1204.81
798,Mercedes-Benz,400E,1993,JM1NC2JF3F0808816,Violet,8585.55
799,Audi,80,1990,KMHTC6AD2FU710068,Orange,9355.63
800,Honda,CR-V,2007,WBANE53587C353376,Khaki,5309.01
801,Cadillac,SRX,2008,1FTEW1C85FF408458,Violet,2684.78
802,Toyota,Tacoma Xtra,2000,2G4WE587671921157,Green,3842.61
803,Infiniti,G35,2007,JN8AE2KP5E9563483,Aquamarine,5865.62
804,Mercedes-Benz,C-Class,2010,1G6DA1E37C0418683,Teal,2044.43
805,Subaru,Tribeca,2012,WAUDH98EX6A482961,Goldenrod,8413.86
806,Chrysler,PT Cruiser,2009,1FADP5CU5EL617625,Turquoise,1993.17
807,Toyota,Prius,2010,WAUMGBFL0AA173584,Yellow,2313.07
808,Oldsmobile,Ciera,1992,1GYFC56239R664206,Indigo,3893.91
809,GMC,Vandura 3500,1994,WAULFAFH8EN380727,Mauv,1918.27
810,Nissan,Pathfinder,2008,YV1952AS5E1639037,Green,7980.06
811,Nissan,Altima,2006,WAUDH98E87A506319,Puce,8328.45
812,Maybach,57,2011,1FTNX2A51AE364369,Crimson,8342.29
813,Oldsmobile,Cutlass Supreme,1994,WAUVT58E65A309996,Teal,2442.37
814,Nissan,GT-R,2009,JH4KC1F57EC731814,Khaki,8089.03
815,Ferrari,612 Scaglietti,2010,1G6KE57YX2U258835,Red,8760.82
816,Mercury,Cougar,1985,4JGCB2FE7BA558510,Mauv,8497.5
817,Oldsmobile,98,1994,1G6DF8E5XD0770010,Orange,9471.3
818,Mazda,MX-5,1999,5TDBY5G10BS341346,Mauv,2660.95
819,Chrysler,Town & Country,1993,WAUXL58E65A589265,Pink,4257.65
820,Audi,A4,1998,3G5DA03L46S453065,Green,3899.85
821,Chrysler,Concorde,1995,1G4HG5EM2AU138362,Crimson,3464.03
822,Mazda,Miata MX-5,2002,SALVP2BG1FH920827,Red,8313.7
823,Hyundai,XG350,2005,1C4PJLAK1CW665097,Crimson,2464.8
824,Rolls-Royce,Ghost,2012,2T1BU4EE0CC620558,Violet,7416.29
825,Hyundai,Sonata,1995,1G4GD5ER2CF617064,Teal,5125.11
826,Eagle,Premier,1992,WBAKG1C57DJ562458,Turquoise,6278.3
827,Suzuki,Daewoo Lacetti,2006,SAJWA4DC7DM799293,Indigo,6698.64
828,Pontiac,Grand Am,1992,1G6DM8EG3A0190617,Maroon,4767.73
829,Subaru,Legacy,1994,2C3CCAAG8EH257338,Red,3508.32
830,Nissan,300ZX,1992,WBANF33526C771254,Green,8732.6
831,Mercedes-Benz,M-Class,1999,1G6DC8EY6B0203552,Fuscia,9949.64
832,Toyota,Xtra,1993,ZHWGU5BZ7DL049848,Khaki,2682.55
833,Pontiac,Trans Sport,1995,SCFAD02A08G560538,Red,6224.79
834,Panoz,Esperante,2007,1N6AF0KY7EN389622,Goldenrod,9412.47
835,Pontiac,GTO,1971,WBA3G7C58EK183326,Maroon,7203.22
836,Mitsubishi,Pajero,1992,1FMEU5DEXAU277819,Violet,9038.14
837,Ford,E-350 Super Duty,2006,WAUSF78KX9N247187,Maroon,2692.3
838,Volkswagen,Eos,2009,3VW467AT0CM501406,Maroon,3851.51
839,Honda,Civic,1990,JH4CL96915C797250,Indigo,3458.95
840,Acura,TSX,2009,1G6DL8E30D0670831,Green,7536.03
841,Cadillac,Brougham,1992,WAUFFBFL8BN885489,Maroon,1183.81
842,Cadillac,Brougham,1992,WP0AA2A96DS993704,Blue,2670.57
843,Chevrolet,1500,1999,3D7LP2ET6AG640143,Violet,7488.06
844,Chrysler,New Yorker,1993,4F2CY0C7XAK495456,Teal,9103.02
845,Toyota,Tacoma,2008,WAUHGBFC5EN107144,Violet,1568.92
846,Pontiac,LeMans,1967,1HGCR2E36EA318077,Goldenrod,4529.71
847,Suzuki,Swift,2005,2T1BURHE6FC587756,Violet,2587.01
848,Suzuki,SJ,1991,3C63D3HL4CG626708,Yellow,5134.45
849,Mercedes-Benz,E-Class,2012,3GYFNKE60BS033798,Fuscia,3205.37
850,Plymouth,Colt,1992,JH4KB16518C810340,Indigo,6231.78
851,Cadillac,DTS,2011,WA1YL54B34N765600,Crimson,4482.32
852,Volvo,S80,2002,4A37L2EF3AE717279,Fuscia,9715.17
853,Dodge,Dynasty,1993,1G6KD57Y45U010068,Green,7221.62
854,Mazda,323,1995,WAUSG74F49N279705,Orange,7631.11
855,Lamborghini,Gallardo,2009,WAUEF98E06A052091,Violet,8579.94
856,Lexus,ES,2000,5J8TB2H28AA100157,Teal,6489.2
857,Volkswagen,New Beetle,2006,WAULC68E44A981924,Khaki,4130.6
858,Ford,Aspire,1994,5BZBF0AAXFN418897,Orange,4504.83
859,Jeep,Liberty,2007,3GTU2YEJXBG530163,Orange,6520.5
860,Geo,Tracker,1993,1G6KD54Y83U435794,Goldenrod,6511.37
861,Mercury,Mountaineer,2003,3LNDL2L31CR048746,Purple,6225.94
862,Chevrolet,Camaro,1980,3N1CN7AP2DL636594,Orange,2180.38
863,Land Rover,Range Rover Sport,2011,3N1CN7AP9DL917209,Goldenrod,1673.68
864,Smart,Fortwo,2008,5TFCY5F19CX672489,Crimson,1082.92
865,Mercedes-Benz,M-Class,2012,5N1AR1NB3AC657994,Red,1081.28
866,Saturn,Ion,2005,3D7JB1EP8AG896299,Mauv,2079.45
867,Lincoln,Continental,1988,WBALM5C52AE073670,Indigo,4239.89
868,Lincoln,Mark VII,1992,WBA3B1C50F5970332,Pink,9930.37
869,Subaru,SVX,1994,WAUNF68P96A986508,Purple,3488.25
870,GMC,Jimmy,1993,1FA6P8AM7F5043581,Green,8870.45
871,Mitsubishi,Mighty Max,1995,5FPYK1F20EB365502,Teal,5372.35
872,Mercedes-Benz,300D,1992,WDDHH8HB6BA302671,Purple,7379.51
873,Audi,S4,2008,WBAVL1C51EV755577,Puce,3963.4
874,Mazda,RX-7,1986,WBA3D3C58EF606254,Turquoise,2933.85
875,Buick,Skylark,1991,5UMBT93536L525505,Yellow,2041.6
876,Plymouth,Roadrunner,1969,1G6YX36D875799388,Puce,1873.7
877,Jeep,Commander,2010,1GYS3MKJ9FR239073,Maroon,3273.3
878,Toyota,Highlander,2006,JH4DC54824S131770,Goldenrod,1644.08
879,Bentley,Azure,2006,SAJWA0FB8BL210803,Purple,9952.39
880,Ford,Taurus,2011,1G6DS5ED6B0368306,Blue,5156.65
881,Honda,Accord,1991,3C63D3FL6CG738462,Blue,9957.94
882,Subaru,Forester,2009,1G6DM57N630870184,Blue,3317.22
883,Oldsmobile,Cutlass Supreme,1993,5FRYD3H68GB162406,Purple,3925.28
884,Ford,Mustang,1994,19UUA56942A829735,Khaki,1222.35
885,Shelby,GT500,1968,2C3CCAAG9DH604514,Aquamarine,3614.5
886,BMW,X5,2003,5FRYD3H92GB132747,Violet,6183.12
887,Chevrolet,Cavalier,1995,1N6AD0CU4CN712605,Aquamarine,5875.53
888,Acura,RL,1998,1GD220CG6CZ171052,Goldenrod,1424.97
889,Lincoln,MKX,2009,3C3CFFCR4ET947601,Aquamarine,4356.09
890,Ford,Tempo,1991,WAUCVAFRXCA540946,Khaki,1921.79
891,Honda,Civic Si,2006,3C4PDDDG5CT170136,Fuscia,6415.53
892,Toyota,Avalon,1996,KL4CJBSB0FB071906,Goldenrod,4943.8
893,Buick,Skylark,1987,ZHWGU5BZ5CL974241,Indigo,5572.39
894,Pontiac,Bonneville,1964,WDCGG0EB8EG607583,Red,7768.12
895,MINI,Cooper,2010,WAUHGAFC0CN337472,Purple,1745.64
896,Audi,S6,2009,SCBBB7ZH3DC260601,Aquamarine,2148.43
897,Toyota,Prius,2009,WAUNG94F99N564828,Mauv,4213.15
898,Chevrolet,Metro,1999,WAUMFAFR0FA286895,Blue,6885.29
899,Honda,Civic,2006,2HKRM3H32EH191314,Fuscia,7093.95
900,Eagle,Vision,1996,JM1NC2JF8F0919409,Fuscia,1515.27
901,Jaguar,XK Series,1998,1N6AA0EC5EN616983,Khaki,9602.79
902,Lexus,RX,2008,1GYFC668X8R870082,Aquamarine,5015.57
903,Toyota,Solara,2003,JN8AZ1FY5DW781991,Blue,1962.83
904,Audi,S6,2008,JN8AZ1MU3DW976536,Turquoise,8436.06
905,Oldsmobile,Bravada,2001,1GYFK43559R849806,Purple,1577.31
906,BMW,5 Series,1998,3TMJU4GN7AM262498,Green,3580.21
907,Toyota,Yaris,2008,WUARU78E07N844558,Orange,4923.04
908,Dodge,Shadow,1992,3N1AB7AP8FY780155,Puce,3314.36
909,Honda,Accord,1985,1G6EL12Y31B458937,Indigo,8378.76
910,Suzuki,XL7,2006,1G6DS8E3XC0968868,Turquoise,9285.38
911,Lincoln,Aviator,2004,1G4PP5SK1F4741793,Purple,6124.97
912,Maserati,Biturbo,1986,WBA3B5C54DF071455,Teal,7026.3
913,Kia,Spectra,2003,WVWAA7AJ5CW657475,Fuscia,7343.58
914,Pontiac,Firebird,2002,1G6ET12971B437954,Green,9907.38
915,Lexus,IS F,2010,WAUEF78E48A340364,Teal,2322.14
916,Acura,CL,1997,1G6DP8EDXB0307219,Blue,2618.31
917,Mitsubishi,Tundra,2009,WBAVB73568V852686,Red,7620.94
918,Chevrolet,Metro,2001,KNDJT2A59C7160682,Pink,9795.98
919,Pontiac,LeMans,1993,5GAKVAKD5EJ450648,Blue,9142.52
920,Infiniti,Q,1992,2B3CL5CT5BH170068,Khaki,8323.13
921,Ford,Explorer,2008,KMHTC6AD3DU091042,Teal,9147.71
922,Mitsubishi,Outlander,2007,1GYS3BEF0CR691470,Green,5849.95
923,Lamborghini,Gallardo,2005,KNADM5A35D6992339,Blue,3593.1
924,Honda,Accord,2010,3GYFNDEYXAS925049,Mauv,6289.9
925,Isuzu,Ascender,2009,1FMJU1J52AE605658,Crimson,6954.79
926,Mercedes-Benz,C-Class,2006,1FTEX1CM4DF491372,Purple,7039.29
927,Audi,TT,2006,WVWGD7AJXEW137244,Orange,7970.43
928,Ford,E150,2006,1N6AD0CW8FN525373,Orange,6795.17
929,Dodge,Avenger,2010,1C3CDWDA8CD538471,Indigo,9743.13
930,Toyota,Prius,2004,WBALM7C53BE634567,Purple,3786.89
931,BMW,3 Series,1996,WAUPN44E77N475507,Purple,9133.17
932,Ford,Ranger,1991,SALGR2VF8EA616732,Blue,7889.52
933,Volkswagen,New Beetle,2003,WBASP4C5XAC809411,Pink,7680.55
934,Honda,S2000,2007,3D7TT2CT8AG071035,Pink,5154.36
935,Buick,LeSabre,1994,1FTWF3D59AE623165,Red,7896.85
936,Lincoln,Navigator,2010,WBAKX8C54BC662186,Purple,4172.88
937,Mercury,Grand Marquis,1985,1G6AF5S38D0139681,Mauv,4063.52
938,Chevrolet,Suburban 1500,1996,SAJWA4FC8EM883542,Indigo,2440.13
939,Chrysler,Sebring,2010,WAUHF98P58A777476,Green,1278.34
940,Mercedes-Benz,500SEC,1993,2G4GN5EK7C9164374,Pink,2555.25
941,Chevrolet,Venture,2005,SCFFDAAM4DG744110,Maroon,4766.16
942,Buick,Century,1996,SALAB2D46BA025370,Aquamarine,8210.77
943,Cadillac,Escalade EXT,2004,1G6KD57Y87U390373,Fuscia,3378.88
944,Porsche,911,2003,WAUKH74F97N019956,Turquoise,6855.33
945,Buick,Coachbuilder,1991,WAUMGAFL1CA597031,Maroon,9299.93
946,Ford,Club Wagon,1995,WAUFFAFL5DN317567,Pink,6913.48
947,Isuzu,Hombre,1996,1FTEX1C82AK970282,Red,3609.51
948,Lincoln,Navigator,2012,19VDE3F36EE935388,Maroon,7050.02
949,Mercedes-Benz,CL-Class,2011,ZHWGU5BZ7CL377057,Pink,5812.84
950,Toyota,Camry,2008,JM3KE2BE2F0595822,Puce,4086.93
951,Mazda,MX-5,1996,JH4CU25679C745462,Aquamarine,9886.34
952,Suzuki,SJ,1995,WBAVB33506A141014,Orange,6716.62
953,Volkswagen,Rabbit,2007,KMHHT6KDXBU664732,Indigo,4246.41
954,Ford,Edge,2009,WBA3T3C58F5985525,Orange,3816.91
955,Volvo,XC90,2003,19UUA76678A326601,Maroon,5975.07
956,Acura,RL,2005,WAUAF78EX5A326625,Yellow,4965.09
957,Subaru,Legacy,1998,WAUML54B12N576362,Teal,2247.67
958,Maserati,Quattroporte,2012,WBAEV33443K076477,Green,9465.72
959,Toyota,Celica,1984,3MZBM1K79FM212041,Blue,1449.4
960,Pontiac,Bonneville,2000,WAUBNAFB6BN324923,Orange,7481.29
961,GMC,Savana 1500,2004,1G6DV1EP8B0958226,Khaki,1836.29
962,Dodge,Ram Van 3500,1995,WBAVD53518A924819,Pink,8900.92
963,Saab,900,1998,WD3PE7DC1F5581804,Mauv,2726.61
964,Jeep,Wrangler,2000,SCBBP93W89C725661,Purple,8440.19
965,Hyundai,Veracruz,2010,5FPYK1F26BB882301,Fuscia,5159.11
966,Acura,TSX,2010,WBA4A9C56FD393513,Teal,1458.32
967,Ford,F-Series Super Duty,2007,4A31K5DF1CE358853,Red,2982.64
968,Mazda,Mazda2,2011,1FTEW1C81FF214509,Yellow,9744.57
969,Chevrolet,Astro,2000,JH4DC44581S474921,Yellow,2997.58
970,Land Rover,Freelander,2009,KMHTC6AD1DU155224,Puce,1667.04
971,Porsche,911,1990,WBAXA5C53ED351210,Orange,9482.61
972,Audi,TT,2010,1G6AA5RXXE0119084,Crimson,7823.25
973,Chrysler,PT Cruiser,2010,JH4NA12622T638017,Violet,6193.75
974,Dodge,Avenger,1998,1FTSX2B52AE697973,Yellow,5100.9
975,Porsche,911,1987,JH4CU2F64AC523237,Crimson,4029.92
976,Audi,S8,2009,1G6AJ5SX6E0932593,Maroon,7123.17
977,Acura,RL,1997,1C3CCBAB9DN610105,Violet,1239.96
978,Dodge,Sprinter,2009,5J6YH1H39AL133883,Green,5845.77
979,Lincoln,Town Car,1986,2G4GT5GV2C9485493,Puce,3743.45
980,Dodge,Viper,1997,1ZVBP8JZ8E5972694,Fuscia,5508.52
981,Subaru,Justy,1989,KMHHT6KDXEU096020,Fuscia,5433.19
982,Mercedes-Benz,S-Class,1986,5J8TB4H31EL563434,Puce,8377.47
983,Volkswagen,rio,2002,WBA6B4C57ED721139,Goldenrod,7150.41
984,Kia,Optima,2009,1YVHZ8BH9B5667790,Pink,1159.14
985,Lamborghini,Diablo,2000,1G6DX67D960728081,Maroon,5359.01
986,Nissan,Frontier,1999,SCFBB03B57G658867,Mauv,3387.94
987,Jeep,Wrangler,1993,WDDHH8HB3BA264493,Turquoise,5834.47
988,GMC,Safari,2004,WAULD54B52N802864,Purple,3913.81
989,Ford,Courier,1988,1D4SD6GT2BC648346,Fuscia,5947.13
990,Chevrolet,Corvette,1963,WBAYE4C58DD686206,Teal,5271.06
991,Chrysler,300,2005,JN1BJ0HP6DM116960,Purple,3111.71
992,Ford,Aspire,1995,3C4PDDGG2FT204730,Indigo,6004.23
993,BMW,5 Series,2005,3D7TT2CT8BG512860,Teal,9540.17
994,Buick,Century,1995,WBAVB73507K747898,Yellow,7426.31
995,Ford,F350,1993,2FMDK3AK0EB719017,Blue,3197.36
996,Lincoln,LS,2000,WBA3N5C59FK494372,Khaki,4820.81
997,Mercedes-Benz,E-Class,2008,1FTMF1CW3AK366737,Khaki,2788.54
998,Volkswagen,Golf,1988,3GYEK62NX5G457732,Violet,1864.22
999,Buick,Riviera,1992,WAUDF78E58A789595,Pink,3119.22
1000,Ford,Club Wagon,1998,JTHBL5EF8E5500491,Indigo,6421.2
